h_code,x,y,z,no
1171064600,1.499856791,0.316691231,-0.5598057,0
1171064700,1.382392346,1.444245542,0.097748089,0
1171065000,1.836651697,0.047041349,0.502626637,0
1171067000,1.912384703,0.493724034,-0.116239715,0
1171068000,1.281966724,-0.030211792,-0.190923009,0
1171069000,0.742373474,0.861921315,-0.366902327,0
1171071000,1.569700352,-0.535934032,1.350274332,0
1171072000,1.217993863,-1.284382331,-1.040029607,0
1174051500,0.952367564,-0.034266589,-0.949978115,0
1174052000,0.455408314,2.126677283,-1.480017283,1
1174053000,0.161514569,0.631276058,-0.000558179,0
1174054000,-0.262934138,0.682318062,-0.33444187,1
1174055000,-0.872532844,2.254473087,-0.420406927,1
1174056000,-0.833964321,1.537088803,-0.373700325,1
1174057000,-1.0260574,0.681430471,-0.211936091,1
1174058000,0.490300037,-0.029819888,-0.705213642,1
1174059000,0.348921461,1.094094418,-1.002144836,1
1174060000,-1.548166163,-0.366129951,-0.138808366,4
1174061000,-0.459384385,0.94152426,1.227237762,1
1174062000,-0.224233485,0.002214692,0.477150455,1
1174064000,-0.103682933,0.594176776,-0.070540677,0
1174065000,-0.478482488,0.355116261,0.228014835,1
1174066000,-0.590193174,0.739048239,0.264408007,1
1174068500,-0.268429637,0.785307825,0.596129005,1
1174069000,-3.400961355,-0.817882734,-1.94782665,4
1174070000,-0.374264099,0.597776238,-0.126672886,1
